observed_at,energie,mois,indice,valeur,source,sha256
2026-09-15T04:53:26+00:00,electricite,2024-09,Endex 303,65.68,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-09,Endex 103,65.38,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-09,Endex 101,81.66,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-09,Epex DAM,66.65,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-08,Endex 303,65.68,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-08,Endex 103,65.38,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-08,Endex 101,59.52,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-08,Epex DAM,65.53,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-07,Endex 303,65.68,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-07,Endex 103,65.38,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-07,Endex 101,59.13,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-07,Epex DAM,54.56,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-06,Endex 303,58.36,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-06,Endex 103,53.24,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-06,Endex 101,57.23,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-06,Epex DAM,59.80,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-05,Endex 303,58.36,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-05,Endex 103,53.24,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-05,Endex 101,43.60,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-05,Epex DAM,54.45,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-04,Endex 303,58.36,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-04,Endex 103,53.24,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-04,Endex 101,54.80,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-04,Epex DAM,48.01,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-03,Endex 303,115.71,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-03,Endex 103,94.30,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-03,Endex 101,61.99,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-03,Epex DAM,61.15,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-02,Endex 303,115.71,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-02,Endex 103,94.30,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
